State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Maine,2027,175.74130058723688,920.3439057902033
Maine,2028,330.54500179815295,1708.7751019442326
Maryland,2024,25.523414092863447,149.97755748919533
Maryland,2025,51.30708970080454,278.45886138389506
Maryland,2026,98.60865891164832,517.0062693466745
Maryland,2027,185.8618599023052,959.9101325608788
Maryland,2028,347.2920649866369,1782.2365360432177
Massachusetts,2024,29.342566510888933,184.75878012498123
Massachusetts,2025,60.9513592788263,343.03612090753035
Massachusetts,2026,119.06824992145968,636.90494258343
Massachusetts,2027,226.4019358981048,1182.522425959189
Massachusetts,2028,425.11497902063763,2195.5541469412133
Michigan,2024,11.906132384999372,61.72110261952412
Michigan,2025,22.90872352316094,114.59573183160684
Michigan,2026,42.766693702392956,212.76648012875052
Michigan,2027,79.066182240643,395.0371828236984
Michigan,2028,145.89214792867853,733.4537645161566
Minnesota,2024,12.805647200265234,64.3842541439056
Minnesota,2025,24.25425973930716,119.54032590012591
Minnesota,2026,44.94034456129793,221.9469605777975
Minnesota,2027,82.77736887742287,412.0823072782882
Minnesota,2028,152.45803142285254,765.1009391150216
Mississippi,2024,6.214749425898296,34.75927601884584
Mississippi,2025,12.701806408142565,64.53651189401211
Mississippi,2026,24.175918891282933,119.82301832718845
Mississippi,2027,44.90934869953615,222.4718271823717
Mississippi,2028,82.8342770406872,413.0568114610136
Missouri,2024,12.703540372403303,80.84002619897467
Missouri,2025,26.90814574075838,150.09326746258313
Missouri,2026,52.711200315293645,278.6736966431147
Missouri,2027,100.0487498758841,517.4051475699828
Missouri,2028,187.3687545096352,960.6507178707926
Montana,2024,10.735102352602137,56.9489454419378
Montana,2025,20.938458370237612,105.73540981901907
Montana,2026,39.31251251986132,196.3157843018259
Montana,2027,72.85685838935703,364.49366614275607
Montana,2028,134.56743279262128,676.7445273474694
Nebraska,2024,9.683865437721785,51.74374553711335
Nebraska,2025,19.01546086188096,96.07107028023576
Nebraska,2026,35.770943097661856,178.37229309521098
Nebraska,2027,66.31013473113732,331.1785207683831
Nebraska,2028,122.4411288234909,614.8892897833082
Nevada,2024,23.10989544188936,114.77246607665506
Nevada,2025,42.99746485903115,213.09461733452687
Nevada,2026,79.35190942019669,395.6464253945728
Nevada,2027,146.27991031818914,734.5849270409532
Nevada,2028,269.9729221187129,1363.8819420587756
New Hampshire,2024,15.345927487232544,79.04955775214607
New Hampshire,2025,29.250667362552235,146.76895805660016
New Hampshire,2026,54.49697061271041,272.5015504395437
New Hampshire,2027,100.80081658154056,505.94550765508995
New Hampshire,2028,186.20157456273327,939.3739459590993
New Jersey,2024,18.81024352714427,73.69559678046853
New Jersey,2025,31.818308485177393,136.82841827834335
New Jersey,2026,55.399782138966756,254.0452464795721
New Jersey,2027,98.61258861119444,471.6782381243203
New Jersey,2028,178.27430567769179,875.7509278488025
New Mexico,2024,11.65967290216367,60.83385290931151
New Mexico,2025,22.513668530435268,112.9484017363238
New Mexico,2026,42.095745854873314,209.70793143429677
New Mexico,2027,77.88299235174047,389.35846661306704
New Mexico,2028,143.75789350729283,722.9102613640362
New York,2024,17.40879864683814,104.5480513303284
New York,2025,35.583995430808955,194.1112511813347
New York,2026,68.75912875581118,360.4005751970705
New York,2027,129.78419723092532,669.1450073702325
New York,2028,242.51741032010403,1242.3815934357813
North Carolina,2024,13.722902941749151,71.73335113551698
North Carolina,2025,26.40233336906929,133.18517526788108
North Carolina,2026,49.37364108359564,247.28094575737074
North Carolina,2027,91.4535706404578,459.11916256197725
North Carolina,2028,169.01190890000598,852.4328665356871
North Dakota,2024,8.102695926785298,49.17882856365509
North Dakota,2025,17.00472215400989,91.30886537484604
North Dakota,2026,32.96263606379231,169.53044916981466
North Dakota,2027,62.02100635538538,314.762132655266
North Dakota,2028,115.40260359345794,584.4094712121594
Ohio,2024,11.057870623248157,57.36127140618729
Ohio,2025,21.33028249538917,106.50096314877109
Ohio,2026,39.8325505920822,197.73716435428312
Ohio,2027,73.6149474760907,367.1327001264208
Ohio,2028,135.76750410364406,681.6443430968867
Oklahoma,2024,11.758393234780446,62.27152953998317
Oklahoma,2025,22.853169208802015,115.61769309109138
Oklahoma,2026,42.882296225498095,214.66392514291547
Oklahoma,2027,79.49956656308,398.5601124341569
Oklahoma,2028,146.91554824745447,739.994682934131
Oregon,2024,26.80927757766114,139.239800053015
Oregon,2025,50.794606538724544,258.5223871570052
Oregon,2026,94.75723912433905,479.9908117931064
Oregon,2027,175.8111359893682,891.1846356496958
Oregon,2028,325.7312778542803,1654.6359540740848
Pennsylvania,2024,12.129256563280265,61.229497549732486
Pennsylvania,2025,23.049514278089486,113.68298334925747
Pennsylvania,2026,42.75461844387022,211.07180722315132
Pennsylvania,2027,78.77028521063286,391.89073414423325
Pennsylvania,2028,145.0692874739571,727.6118470229354
Rhode Island,2024,19.553617465717526,137.47142334500023
Rhode Island,2025,43.24278083148078,255.23909482410357
Rhode Island,2026,86.65553158257943,473.8948207667415
