state,year,ev_count,ports_total,population,gas_real_2023,ev_per_1000,ports_per_100k
Oklahoma,2020,3400,693.0,3965415.0,2.5606,0.8574134107022846,17.47610275343186
Oregon,2020,22800,2121.0,4243779.0,2.5606,5.372570060787803,49.9790399075918
Pennsylvania,2020,17500,2054.0,12996143.0,2.5606,1.3465533581771145,15.804689129690248
Rhode Island,2020,1600,550.0,1096530.0,2.5606,1.4591484045124163,50.15822640511431
South Carolina,2020,4400,734.0,5132249.0,2.5606,0.8573239529103128,14.30172230536749
South Dakota,2020,400,133.0,887948.0,2.5606,0.4504768297242632,14.978354588331749
Tennessee,2020,7800,1345.0,6927904.0,2.5606,1.1258816519397499,19.414241305884147
Texas,2020,52200,4807.0,29239570.0,2.5606,1.7852519718997235,16.440050246976956
Utah,2020,11200,1606.0,3284077.0,2.5606,3.4103950668635354,48.90262926234677
Vermont,2020,2200,793.0,642977.0,2.5606,3.421584286840742,123.33256088475949
Virginia,2020,20500,2531.0,8637615.0,2.5606,2.373340326004343,29.302070073741422
Washington,2020,50500,3817.0,7727209.0,2.5606,6.535348015046571,49.39687796719359
West Virginia,2020,600,258.0,1791646.0,2.5606,0.3348875838195715,14.400166104241576
Wisconsin,2020,6300,828.0,5897375.0,2.5606,1.0682719006337567,14.040144979757944
Wyoming,2020,300,172.0,577681.0,2.5606,0.5193177549547241,29.77421795073752
United States,2020,1018900,,,2.5606,,
Alabama,2021,4700,682.0,5049196.0,3.355,0.9308412666095751,13.5071009325049
Alaska,2021,1300,94.0,734420.0,3.355,1.7701042999918302,12.799215707633234
Arizona,2021,40700,2259.0,7274078.0,3.355,5.595210829468696,31.055482220564585
Arkansas,2021,2400,463.0,3026870.0,3.355,0.7928982744551302,15.296329211363554
California,2021,563100,41237.0,39142565.0,3.355,14.385873792379217,105.35078628597795
Colorado,2021,37000,3992.0,5814036.0,3.355,6.363909683393773,68.66142555704849
Connecticut,2021,13300,1430.0,3606607.0,3.355,3.687676533650603,39.64945445955159
Delaware,2021,3000,314.0,1005062.0,3.355,2.9848904843681283,31.241853736386414
District of Columbia,2021,3700,,669256.0,3.355,5.5285272003538255,
Florida,2021,95600,6748.0,21831949.0,3.355,4.378903596742553,30.908829990396185
Georgia,2021,34000,3947.0,10792060.0,3.355,3.1504643228447584,36.57318435961253
Hawaii,2021,14200,839.0,1447029.0,3.355,9.813210377953725,57.98086976833221
Idaho,2021,3500,345.0,1904848.0,3.355,1.8374169487539163,18.11168135200289
Illinois,2021,36500,2764.0,12700641.0,3.355,2.8738706967624705,21.762681111921832
Indiana,2021,10400,971.0,6815907.0,3.355,1.5258424153968062,14.24608639759903
Iowa,2021,3700,584.0,3198613.0,3.355,1.15675137942602,18.257913664453937
Kansas,2021,4500,1017.0,2938338.0,3.355,1.5314779987870695,34.61140277258777
Kentucky,2021,4200,532.0,4507583.0,3.355,0.9317632087972645,11.802333978098684
Louisiana,2021,3200,385.0,4627971.0,3.355,0.6914477208262542,8.31898039119087
